"filename", "language", "Vue", "comment", "blank", "total"
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\CommentTestView.vue", "Vue", 9, -2, 0, 7
"Total", "-", 9, -2, 0, 7
